instrument,model,side,bias,quintile,entry_ts,exit_ts,entry,exit,r,pnl_pct,bars,reason,partial_tp1
AMD,S3,long,RISK_ON,5,2014-08-29 00:00:00+00:00,2014-09-08 00:00:00+00:00,4.174169999999999,4.13,-0.3007860380956062,-0.0015039301904780312,5,SMA50_BREAK,False
KSS,S3,long,RISK_ON,5,2014-08-29 00:00:00+00:00,2014-09-08 00:00:00+00:00,58.848789999999994,58.848789999999994,0.43337020101722334,0.002166851005086117,5,STOP_AFTER_TP1,True
ETFC,S3,long,RISK_ON,5,2014-08-29 00:00:00+00:00,2014-09-05 00:00:00+00:00,22.28226,21.6535,-1.0,-0.005,4,SL,False
VLO,S3,long,RISK_ON,5,2014-09-02 00:00:00+00:00,2014-09-04 00:00:00+00:00,53.47342,52.43047142857142,-1.0,-0.005,2,SL,False
MKC,S3,long,RISK_ON,5,2014-09-03 00:00:00+00:00,2014-09-04 00:00:00+00:00,69.51944999999999,69.07196428571429,-1.0,-0.005,1,SL,False
AYI,S3,long,RISK_ON,5,2014-09-03 00:00:00+00:00,2014-09-10 00:00:00+00:00,122.93280999999999,121.52151785714287,-1.0,-0.005,5,SL,False
CPB,S3,long,RISK_ON,5,2014-09-04 00:00:00+00:00,2014-09-08 00:00:00+00:00,44.29425,43.906,-1.0,-0.005,2,SL,False
GWW,S3,long,RISK_ON,5,2014-09-08 00:00:00+00:00,2014-09-09 00:00:00+00:00,249.08883999999998,247.25241428571428,-1.0,-0.005,1,SL,False
FLS,S3,long,RISK_ON,5,2014-09-08 00:00:00+00:00,2014-09-09 00:00:00+00:00,76.24616999999999,75.14232857142856,-1.0,-0.005,1,SL,False
GWW,S3,long,RISK_ON,5,2014-09-09 00:00:00+00:00,2014-09-10 00:00:00+00:00,247.12687999999997,245.54312857142855,-1.0,-0.005,1,SL,False
COL,S3,long,RISK_ON,5,2014-09-09 00:00:00+00:00,2014-10-01 00:00:00+00:00,76.84676999999999,76.84676999999999,0.271154374194902,0.0013557718709745102,16,STOP_AFTER_TP1,True
CINF,S3,long,RISK_ON,5,2014-09-10 00:00:00+00:00,2014-09-15 00:00:00+00:00,48.19814999999999,47.747571428571426,-1.0,-0.005,3,SL,False
GWW,S3,long,RISK_ON,5,2014-09-10 00:00:00+00:00,2014-10-07 00:00:00+00:00,246.82657999999998,249.75,1.4256783052247495,0.007128391526123747,19,EMA_TRAIL,True
LUK,S3,long,RISK_ON,5,2014-09-10 00:00:00+00:00,2014-09-17 00:00:00+00:00,25.80578,25.484260714285714,-1.0,-0.005,5,SL,False
AYI,S3,long,RISK_ON,5,2014-09-10 00:00:00+00:00,2014-09-22 00:00:00+00:00,122.69256999999998,122.69256999999998,0.5211151421343236,0.002605575710671618,8,STOP_AFTER_TP1,True
WMT,S3,long,RISK_ON,5,2014-09-11 00:00:00+00:00,2014-09-12 00:00:00+00:00,76.17609999999999,75.75558214285715,-1.0,-0.005,1,SL,False
FAST,S3,long,RISK_ON,5,2014-09-11 00:00:00+00:00,2014-09-12 00:00:00+00:00,46.1461,45.60608571428571,-1.0,-0.005,1,SL,False
D,S3,long,RISK_ON,5,2014-09-11 00:00:00+00:00,2014-09-12 00:00:00+00:00,69.98992,68.76418214285714,-1.0,-0.005,1,SL,False
